Register Output,Fraction,Guess for r,guess1,guess2
0011010011101(bin) = 1693(dec),6/29,29,1,5
0011010011110(bin) = 1694(dec),6/29,29,1,5
0011010011111(bin) = 1695(dec),6/29,29,1,5
0011010100000(bin) = 1696(dec),6/29,29,1,5
0011010100001(bin) = 1697(dec),6/29,29,1,5
0011010100010(bin) = 1698(dec),11/53,53,1,5
0011010100011(bin) = 1699(dec),11/53,53,1,5
0011010100100(bin) = 1700(dec),11/53,53,1,5
0011010100101(bin) = 1701(dec),11/53,53,1,5
0011010100111(bin) = 1703(dec),11/53,53,1,5
0011010101000(bin) = 1704(dec),5/24,24,5,1
0011010101001(bin) = 1705(dec),5/24,24,5,1
0011010101010(bin) = 1706(dec),5/24,24,5,1
0011010101100(bin) = 1708(dec),5/24,24,5,1
0011010101101(bin) = 1709(dec),5/24,24,5,1
0011010101110(bin) = 1710(dec),5/24,24,5,1
0011011000001(bin) = 1729(dec),11/52,52,1,5
0011011000010(bin) = 1730(dec),11/52,52,1,5
0011011000011(bin) = 1731(dec),11/52,52,1,5
0011011000100(bin) = 1732(dec),11/52,52,1,5
0011011000101(bin) = 1733(dec),11/52,52,1,5
0011011000110(bin) = 1734(dec),11/52,52,1,5
0011011000111(bin) = 1735(dec),11/52,52,1,5
0011011001000(bin) = 1736(dec),7/33,33,5,1
0011011001001(bin) = 1737(dec),7/33,33,5,1
0011011001010(bin) = 1738(dec),7/33,33,5,1
0011011001011(bin) = 1739(dec),7/33,33,5,1
0011011001100(bin) = 1740(dec),7/33,33,5,1
0011011100010(bin) = 1762(dec),11/51,51,1,11
0011011100011(bin) = 1763(dec),11/51,51,1,11
0011011100100(bin) = 1764(dec),11/51,51,1,11
0011011100101(bin) = 1765(dec),11/51,51,1,11
0011011100110(bin) = 1766(dec),11/51,51,1,11
0011011100111(bin) = 1767(dec),11/51,51,1,11
0011011101000(bin) = 1768(dec),11/51,51,1,11
0011011101001(bin) = 1769(dec),11/51,51,1,11
0011011101010(bin) = 1770(dec),8/37,37,1,5
0011011101011(bin) = 1771(dec),8/37,37,1,5
0011011101100(bin) = 1772(dec),8/37,37,1,5
0011011101101(bin) = 1773(dec),8/37,37,1,5
0011011101110(bin) = 1774(dec),8/37,37,1,5
0011011101111(bin) = 1775(dec),8/37,37,1,5
0011011110000(bin) = 1776(dec),8/37,37,1,5
0011011111110(bin) = 1790(dec),7/32,32,5,1
0011011111111(bin) = 1791(dec),7/32,32,5,1
0011100000000(bin) = 1792(dec),7/32,32,5,1
0011100000001(bin) = 1793(dec),7/32,32,5,1
0011100000010(bin) = 1794(dec),7/32,32,5,1
0011100000011(bin) = 1795(dec),7/32,32,5,1
0011100001001(bin) = 1801(dec),11/50,50,1,11
0011100001010(bin) = 1802(dec),11/50,50,1,11
0011100001011(bin) = 1803(dec),11/50,50,1,11
0011100001100(bin) = 1804(dec),11/50,50,1,11
0011100001101(bin) = 1805(dec),11/50,50,1,11
0011100001110(bin) = 1806(dec),11/50,50,1,11
0011100001111(bin) = 1807(dec),11/50,50,1,11
0011100010000(bin) = 1808(dec),11/50,50,1,11
0011100010001(bin) = 1809(dec),11/50,50,1,11
0011100010010(bin) = 1810(dec),11/50,50,1,11
0011100010011(bin) = 1811(dec),11/50,50,1,11
0011100010100(bin) = 1812(dec),2/9,9,5,1
0011100010101(bin) = 1813(dec),2/9,9,5,1
0011100010110(bin) = 1814(dec),2/9,9,5,1
0011100010111(bin) = 1815(dec),2/9,9,5,1
0011100011000(bin) = 1816(dec),2/9,9,5,1
0011100011001(bin) = 1817(dec),2/9,9,5,1
0011100011010(bin) = 1818(dec),2/9,9,5,1
0011100011011(bin) = 1819(dec),2/9,9,5,1
0011100011100(bin) = 1820(dec),2/9,9,5,1
0011100011101(bin) = 1821(dec),2/9,9,5,1
0011100011110(bin) = 1822(dec),2/9,9,5,1
0011100011111(bin) = 1823(dec),2/9,9,5,1
0011100100000(bin) = 1824(dec),2/9,9,5,1
0011100100001(bin) = 1825(dec),2/9,9,5,1
0011100100010(bin) = 1826(dec),2/9,9,5,1
0011100100011(bin) = 1827(dec),2/9,9,5,1
0011100100100(bin) = 1828(dec),2/9,9,5,1
0011100100101(bin) = 1829(dec),2/9,9,5,1
0011100100110(bin) = 1830(dec),11/49,49,5,1
0011100100111(bin) = 1831(dec),11/49,49,5,1
0011100101000(bin) = 1832(dec),11/49,49,5,1
0011100101001(bin) = 1833(dec),11/49,49,5,1
0011100101010(bin) = 1834(dec),11/49,49,5,1
0011100101011(bin) = 1835(dec),11/49,49,5,1
0011100101100(bin) = 1836(dec),11/49,49,5,1
0011100101101(bin) = 1837(dec),11/49,49,5,1
0011100101110(bin) = 1838(dec),11/49,49,5,1
0011100101111(bin) = 1839(dec),11/49,49,5,1
0011100110000(bin) = 1840(dec),11/49,49,5,1
0011100110001(bin) = 1841(dec),11/49,49,5,1
0011100110111(bin) = 1847(dec),7/31,31,1,11
0011100111000(bin) = 1848(dec),7/31,31,1,11
0011100111001(bin) = 1849(dec),7/31,31,1,11
0011100111010(bin) = 1850(dec),7/31,31,1,11
0011100111011(bin) = 1851(dec),7/31,31,1,11
0011100111100(bin) = 1852(dec),7/31,31,1,11
0011100111101(bin) = 1853(dec),12/53,53,1,5
0011100111110(bin) = 1854(dec),12/53,53,1,5
0011100111111(bin) = 1855(dec),12/53,53,1,5
0011101000000(bin) = 1856(dec),12/53,53,1,5
0011101000001(bin) = 1857(dec),12/53,53,1,5
0011101000010(bin) = 1858(dec),12/53,53,1,5
0011101010011(bin) = 1875(dec),11/48,48,5,1
0011101010100(bin) = 1876(dec),11/48,48,5,1
0011101010101(bin) = 1877(dec),11/48,48,5,1
0011101010110(bin) = 1878(dec),11/48,48,5,1
0011101010111(bin) = 1879(dec),11/48,48,5,1
0011101011000(bin) = 1880(dec),11/48,48,5,1
0011101011001(bin) = 1881(dec),11/48,48,5,1
0011101011010(bin) = 1882(dec),11/48,48,5,1
0011101011011(bin) = 1883(dec),11/48,48,5,1
0011101011100(bin) = 1884(dec),3/13,13,1,5
0011101011101(bin) = 1885(dec),3/13,13,1,5
0011101011110(bin) = 1886(dec),3/13,13,1,5
0011101011111(bin) = 1887(dec),3/13,13,1,5
0011101100000(bin) = 1888(dec),3/13,13,1,5
0011101100001(bin) = 1889(dec),3/13,13,1,5
0011101100010(bin) = 1890(dec),3/13,13,1,5
0011101100011(bin) = 1891(dec),3/13,13,1,5
0011101100100(bin) = 1892(dec),3/13,13,1,5
0011101100101(bin) = 1893(dec),3/13,13,1,5
0011101100110(bin) = 1894(dec),3/13,13,1,5
0011101100111(bin) = 1895(dec),3/13,13,1,5
0011101101000(bin) = 1896(dec),3/13,13,1,5
0011101101001(bin) = 1897(dec),3/13,13,1,5
0011101110101(bin) = 1909(dec),7/30,30,1,11
0011101110110(bin) = 1910(dec),7/30,30,1,11
0011101110111(bin) = 1911(dec),7/30,30,1,11
0011101111000(bin) = 1912(dec),7/30,30,1,11
0011101111001(bin) = 1913(dec),7/30,30,1,11
0011101111010(bin) = 1914(dec),7/30,30,1,11
0011110000011(bin) = 1923(dec),4/17,17,5,1
0011110000100(bin) = 1924(dec),4/17,17,5,1
0011110000101(bin) = 1925(dec),4/17,17,5,1
0011110000110(bin) = 1926(dec),4/17,17,5,1
0011110000111(bin) = 1927(dec),4/17,17,5,1
0011110001000(bin) = 1928(dec),4/17,17,5,1
0011110001001(bin) = 1929(dec),4/17,17,5,1
0011110001010(bin) = 1930(dec),4/17,17,5,1
0011110001011(bin) = 1931(dec),4/17,17,5,1
0011110011010(bin) = 1946(dec),5/21,21,11,5
0011110011011(bin) = 1947(dec),5/21,21,11,5
0011110011100(bin) = 1948(dec),5/21,21,11,5
0011110011101(bin) = 1949(dec),5/21,21,11,5
0011110011110(bin) = 1950(dec),5/21,21,11,5
0011110011111(bin) = 1951(dec),5/21,21,11,5
0011110100000(bin) = 1952(dec),5/21,21,11,5
0011110100001(bin) = 1953(dec),5/21,21,11,5
0011110100010(bin) = 1954(dec),5/21,21,11,5
0011110101011(bin) = 1963(dec),6/25,25,5,1
0011110101100(bin) = 1964(dec),6/25,25,5,1
0011110101101(bin) = 1965(dec),6/25,25,5,1
0011110101110(bin) = 1966(dec),6/25,25,5,1
0011110101111(bin) = 1967(dec),6/25,25,5,1
0011110110000(bin) = 1968(dec),6/25,25,5,1
0011110110001(bin) = 1969(dec),6/25,25,5,1
0011110110111(bin) = 1975(dec),7/29,29,1,5
0011110111000(bin) = 1976(dec),7/29,29,1,5
0011110111001(bin) = 1977(dec),7/29,29,1,5
0011110111010(bin) = 1978(dec),7/29,29,1,5
0011110111011(bin) = 1979(dec),7/29,29,1,5
0011110111100(bin) = 1980(dec),7/29,29,1,5
0011110111101(bin) = 1981(dec),7/29,29,1,5
0011110111110(bin) = 1982(dec),8/33,33,5,1
0011110111111(bin) = 1983(dec),8/33,33,5,1
0011111000000(bin) = 1984(dec),8/33,33,5,1
0011111000001(bin) = 1985(dec),8/33,33,5,1
0011111000010(bin) = 1986(dec),8/33,33,5,1
0011111000011(bin) = 1987(dec),8/33,33,5,1
0011111000100(bin) = 1988(dec),8/33,33,5,1
0011111000101(bin) = 1989(dec),8/33,33,5,1
0011111000110(bin) = 1990(dec),9/37,37,1,5
0011111000111(bin) = 1991(dec),9/37,37,1,5
0011111001000(bin) = 1992(dec),9/37,37,1,5
0011111001001(bin) = 1993(dec),9/37,37,1,5
0011111001010(bin) = 1994(dec),9/37,37,1,5
0011111001011(bin) = 1995(dec),9/37,37,1,5
0011111010001(bin) = 2001(dec),11/45,45,1,5
0011111010010(bin) = 2002(dec),11/45,45,1,5
0011111010011(bin) = 2003(dec),11/45,45,1,5
0011111010100(bin) = 2004(dec),11/45,45,1,5
0011111010101(bin) = 2005(dec),12/49,49,5,1
0011111010110(bin) = 2006(dec),12/49,49,5,1
0011111010111(bin) = 2007(dec),12/49,49,5,1
0011111011000(bin) = 2008(dec),13/53,53,1,5
0011111011001(bin) = 2009(dec),13/53,53,1,5
0011111011010(bin) = 2010(dec),13/53,53,1,5
0011111011011(bin) = 2011(dec),13/53,53,1,5
0011111011100(bin) = 2012(dec),13/53,53,1,5
0011111011101(bin) = 2013(dec),13/53,53,1,5
0011111011110(bin) = 2014(dec),13/53,53,1,5
0011111011111(bin) = 2015(dec),13/53,53,1,5
0011111100000(bin) = 2016(dec),13/53,53,1,5
0011111100001(bin) = 2017(dec),13/53,53,1,5
0011111100010(bin) = 2018(dec),13/53,53,1,5
0011111100011(bin) = 2019(dec),13/53,53,1,5
0011111100100(bin) = 2020(dec),13/53,53,1,5
0011111100101(bin) = 2021(dec),13/53,53,1,5
0011111100110(bin) = 2022(dec),13/53,53,1,5
0011111100111(bin) = 2023(dec),13/53,53,1,5
0011111101000(bin) = 2024(dec),13/53,53,1,5
0011111101001(bin) = 2025(dec),13/53,53,1,5
0011111101010(bin) = 2026(dec),13/53,53,1,5
0011111101011(bin) = 2027(dec),13/53,53,1,5
0011111101100(bin) = 2028(dec),13/53,53,1,5
0011111101101(bin) = 2029(dec),1/4,4,1,5
0011111101110(bin) = 2030(dec),1/4,4,1,5
0011111101111(bin) = 2031(dec),1/4,4,1,5
0011111110000(bin) = 2032(dec),1/4,4,1,5
0011111110001(bin) = 2033(dec),1/4,4,1,5
0011111110010(bin) = 2034(dec),1/4,4,1,5
0011111110011(bin) = 2035(dec),1/4,4,1,5
0011111110100(bin) = 2036(dec),1/4,4,1,5
0011111110101(bin) = 2037(dec),1/4,4,1,5
0011111110110(bin) = 2038(dec),1/4,4,1,5
0011111110111(bin) = 2039(dec),1/4,4,1,5
0011111111000(bin) = 2040(dec),1/4,4,1,5
0011111111001(bin) = 2041(dec),1/4,4,1,5
0011111111010(bin) = 2042(dec),1/4,4,1,5
0011111111011(bin) = 2043(dec),1/4,4,1,5
0011111111100(bin) = 2044(dec),1/4,4,1,5
0011111111101(bin) = 2045(dec),1/4,4,1,5
0011111111110(bin) = 2046(dec),1/4,4,1,5
0011111111111(bin) = 2047(dec),1/4,4,1,5
0100000000001(bin) = 2049(dec),1/4,4,1,5
0100000000010(bin) = 2050(dec),1/4,4,1,5
0100000000011(bin) = 2051(dec),1/4,4,1,5
0100000000101(bin) = 2053(dec),1/4,4,1,5
0100000000110(bin) = 2054(dec),1/4,4,1,5
0100000000111(bin) = 2055(dec),1/4,4,1,5
0100000001000(bin) = 2056(dec),1/4,4,1,5
0100000001001(bin) = 2057(dec),1/4,4,1,5
0100000001010(bin) = 2058(dec),1/4,4,1,5
0100000001011(bin) = 2059(dec),1/4,4,1,5
0100000001100(bin) = 2060(dec),1/4,4,1,5
0100000001101(bin) = 2061(dec),1/4,4,1,5
0100000001110(bin) = 2062(dec),1/4,4,1,5
0100000001111(bin) = 2063(dec),1/4,4,1,5
0100000010000(bin) = 2064(dec),1/4,4,1,5
0100000010001(bin) = 2065(dec),1/4,4,1,5
0100000010010(bin) = 2066(dec),1/4,4,1,5
0100000100111(bin) = 2087(dec),13/51,51,1,11
0100000101000(bin) = 2088(dec),13/51,51,1,11
0100000101001(bin) = 2089(dec),13/51,51,1,11
0100000111111(bin) = 2111(dec),8/31,31,1,11
0100001000000(bin) = 2112(dec),8/31,31,1,11
0100001000001(bin) = 2113(dec),8/31,31,1,11
0100001000010(bin) = 2114(dec),8/31,31,1,11
0100001000011(bin) = 2115(dec),8/31,31,1,11
0100001000100(bin) = 2116(dec),8/31,31,1,11
0100001000101(bin) = 2117(dec),8/31,31,1,11
0100001000110(bin) = 2118(dec),8/31,31,1,11
0100001001111(bin) = 2127(dec),13/50,50,1,11
0100001010000(bin) = 2128(dec),13/50,50,1,11
0100001010001(bin) = 2129(dec),13/50,50,1,11
0100001010010(bin) = 2130(dec),13/50,50,1,11
0100001010011(bin) = 2131(dec),13/50,50,1,11
0100001010100(bin) = 2132(dec),13/50,50,1,11
0100001010101(bin) = 2133(dec),13/50,50,1,11
0100001110000(bin) = 2160(dec),14/53,53,1,5
0100001110001(bin) = 2161(dec),14/53,53,1,5
0100001110010(bin) = 2162(dec),14/53,53,1,5
0100001110011(bin) = 2163(dec),14/53,53,1,5
0100001110100(bin) = 2164(dec),14/53,53,1,5
0100001110101(bin) = 2165(dec),14/53,53,1,5
0100001110110(bin) = 2166(dec),14/53,53,1,5
0100001111011(bin) = 2171(dec),13/49,49,5,1
0100001111100(bin) = 2172(dec),13/49,49,5,1
0100001111101(bin) = 2173(dec),13/49,49,5,1
0100001111110(bin) = 2174(dec),13/49,49,5,1
0100001111111(bin) = 2175(dec),13/49,49,5,1
0100010000000(bin) = 2176(dec),13/49,49,5,1
0100010000001(bin) = 2177(dec),13/49,49,5,1
0100010000010(bin) = 2178(dec),13/49,49,5,1
0100010100010(bin) = 2210(dec),10/37,37,1,5
0100010100011(bin) = 2211(dec),10/37,37,1,5
0100010100100(bin) = 2212(dec),10/37,37,1,5
0100010100101(bin) = 2213(dec),10/37,37,1,5
0100010100110(bin) = 2214(dec),10/37,37,1,5
0100010100111(bin) = 2215(dec),10/37,37,1,5
0100010101000(bin) = 2216(dec),10/37,37,1,5
0100010101001(bin) = 2217(dec),13/48,48,5,1
0100010101010(bin) = 2218(dec),13/48,48,5,1
0100010101011(bin) = 2219(dec),13/48,48,5,1
0100010101100(bin) = 2220(dec),13/48,48,5,1
0100010101101(bin) = 2221(dec),13/48,48,5,1
0100010101110(bin) = 2222(dec),13/48,48,5,1
0100010101111(bin) = 2223(dec),13/48,48,5,1
0100010110000(bin) = 2224(dec),13/48,48,5,1
0100010110001(bin) = 2225(dec),13/48,48,5,1
0100010110010(bin) = 2226(dec),13/48,48,5,1
0100010110011(bin) = 2227(dec),3/11,11,1,11
0100010110100(bin) = 2228(dec),3/11,11,1,11
0100010110101(bin) = 2229(dec),3/11,11,1,11
0100010110110(bin) = 2230(dec),3/11,11,1,11
0100010110111(bin) = 2231(dec),3/11,11,1,11
0100010111000(bin) = 2232(dec),3/11,11,1,11
0100010111001(bin) = 2233(dec),3/11,11,1,11
0100010111010(bin) = 2234(dec),3/11,11,1,11
0100010111011(bin) = 2235(dec),3/11,11,1,11
0100010111100(bin) = 2236(dec),3/11,11,1,11
0100010111101(bin) = 2237(dec),3/11,11,1,11
0100010111110(bin) = 2238(dec),3/11,11,1,11
0100010111111(bin) = 2239(dec),3/11,11,1,11
0100011000000(bin) = 2240(dec),3/11,11,1,11
0100011000001(bin) = 2241(dec),3/11,11,1,11
0100011000010(bin) = 2242(dec),14/51,51,1,11
0100011000011(bin) = 2243(dec),14/51,51,1,11
0100011000100(bin) = 2244(dec),14/51,51,1,11
0100011000101(bin) = 2245(dec),14/51,51,1,11
0100011000110(bin) = 2246(dec),14/51,51,1,11
0100011000111(bin) = 2247(dec),14/51,51,1,11
0100011001000(bin) = 2248(dec),14/51,51,1,11
0100011001001(bin) = 2249(dec),14/51,51,1,11
0100011001010(bin) = 2250(dec),14/51,51,1,11
0100011010001(bin) = 2257(dec),8/29,29,1,5
0100011010010(bin) = 2258(dec),8/29,29,1,5
0100011010011(bin) = 2259(dec),8/29,29,1,5
0100011010100(bin) = 2260(dec),8/29,29,1,5
0100011010101(bin) = 2261(dec),8/29,29,1,5
0100011010110(bin) = 2262(dec),8/29,29,1,5
0100011110010(bin) = 2290(dec),7/25,25,5,1
0100011110011(bin) = 2291(dec),7/25,25,5,1
0100011110100(bin) = 2292(dec),7/25,25,5,1
0100011110101(bin) = 2293(dec),7/25,25,5,1
0100011110110(bin) = 2294(dec),7/25,25,5,1
0100011110111(bin) = 2295(dec),7/25,25,5,1
0100011111000(bin) = 2296(dec),7/25,25,5,1
0100011111001(bin) = 2297(dec),7/25,25,5,1
0100011111010(bin) = 2298(dec),7/25,25,5,1
0100011111011(bin) = 2299(dec),9/32,32,5,1
0100011111100(bin) = 2300(dec),9/32,32,5,1
0100011111101(bin) = 2301(dec),9/32,32,5,1
0100011111110(bin) = 2302(dec),9/32,32,5,1
0100011111111(bin) = 2303(dec),9/32,32,5,1
0100100000000(bin) = 2304(dec),9/32,32,5,1
0100100000001(bin) = 2305(dec),9/32,32,5,1
0100100000010(bin) = 2306(dec),9/32,32,5,1
0100100000011(bin) = 2307(dec),9/32,32,5,1
0100100001101(bin) = 2317(dec),15/53,53,1,5
0100100001110(bin) = 2318(dec),15/53,53,1,5
0100100001111(bin) = 2319(dec),15/53,53,1,5
0100100010000(bin) = 2320(dec),15/53,53,1,5
0100100010001(bin) = 2321(dec),15/53,53,1,5
0100100010010(bin) = 2322(dec),15/53,53,1,5
0100100010011(bin) = 2323(dec),15/53,53,1,5
0100100010100(bin) = 2324(dec),15/53,53,1,5
0100100010101(bin) = 2325(dec),15/53,53,1,5
0100100010110(bin) = 2326(dec),15/53,53,1,5
0100100010111(bin) = 2327(dec),15/53,53,1,5
0100100011000(bin) = 2328(dec),15/53,53,1,5
0100100011001(bin) = 2329(dec),15/53,53,1,5
0100100110000(bin) = 2352(dec),15/52,52,1,5
0100100110001(bin) = 2353(dec),15/52,52,1,5
0100100110010(bin) = 2354(dec),15/52,52,1,5
0100100110011(bin) = 2355(dec),15/52,52,1,5
0100100110100(bin) = 2356(dec),15/52,52,1,5
0100100110101(bin) = 2357(dec),15/52,52,1,5
0100100110110(bin) = 2358(dec),15/52,52,1,5
0100100110111(bin) = 2359(dec),15/52,52,1,5
0100100111000(bin) = 2360(dec),15/52,52,1,5
0100100111001(bin) = 2361(dec),15/52,52,1,5
0100100111010(bin) = 2362(dec),15/52,52,1,5
0100100111011(bin) = 2363(dec),15/52,52,1,5
0100100111100(bin) = 2364(dec),15/52,52,1,5
0100100111101(bin) = 2365(dec),13/45,45,1,5
0100100111110(bin) = 2366(dec),13/45,45,1,5
0100100111111(bin) = 2367(dec),13/45,45,1,5
0100101000000(bin) = 2368(dec),13/45,45,1,5
0100101000111(bin) = 2375(dec),9/31,31,1,11
0100101001000(bin) = 2376(dec),9/31,31,1,11
0100101001001(bin) = 2377(dec),9/31,31,1,11
0100101001010(bin) = 2378(dec),9/31,31,1,11
0100101001011(bin) = 2379(dec),9/31,31,1,11
0100101001100(bin) = 2380(dec),9/31,31,1,11
0100101010011(bin) = 2387(dec),7/24,24,5,1
0100101010100(bin) = 2388(dec),7/24,24,5,1
0100101010101(bin) = 2389(dec),7/24,24,5,1
0100101010110(bin) = 2390(dec),7/24,24,5,1
0100101010111(bin) = 2391(dec),7/24,24,5,1
0100101011000(bin) = 2392(dec),7/24,24,5,1
0100101011001(bin) = 2393(dec),7/24,24,5,1
0100101100100(bin) = 2404(dec),5/17,17,5,1
0100101100101(bin) = 2405(dec),5/17,17,5,1
0100101100110(bin) = 2406(dec),5/17,17,5,1
0100101100111(bin) = 2407(dec),5/17,17,5,1
0100101101000(bin) = 2408(dec),5/17,17,5,1
0100101101001(bin) = 2409(dec),5/17,17,5,1
0100101101010(bin) = 2410(dec),5/17,17,5,1
0100101101011(bin) = 2411(dec),5/17,17,5,1
0100101101100(bin) = 2412(dec),5/17,17,5,1
0100101101101(bin) = 2413(dec),5/17,17,5,1
0100101101110(bin) = 2414(dec),5/17,17,5,1
0100101101111(bin) = 2415(dec),13/44,44,1,5
0100101110000(bin) = 2416(dec),13/44,44,1,5
0100101110001(bin) = 2417(dec),13/44,44,1,5
0100101110010(bin) = 2418(dec),13/44,44,1,5
0100101110011(bin) = 2419(dec),13/44,44,1,5
0100101110100(bin) = 2420(dec),13/44,44,1,5
0100101110101(bin) = 2421(dec),13/44,44,1,5
0100101110110(bin) = 2422(dec),13/44,44,1,5
0100101110111(bin) = 2423(dec),13/44,44,1,5
0100110000000(bin) = 2432(dec),11/37,37,1,5
0100110000001(bin) = 2433(dec),11/37,37,1,5
0100110000010(bin) = 2434(dec),11/37,37,1,5
0100110000011(bin) = 2435(dec),11/37,37,1,5
0100110000100(bin) = 2436(dec),11/37,37,1,5
0100110000101(bin) = 2437(dec),11/37,37,1,5
0100110010010(bin) = 2450(dec),3/10,10,1,11
0100110100000(bin) = 2464(dec),3/10,10,1,11
0100110100001(bin) = 2465(dec),3/10,10,1,11
0100110100011(bin) = 2467(dec),16/53,53,1,5
0100110100101(bin) = 2469(dec),16/53,53,1,5
0100110100110(bin) = 2470(dec),16/53,53,1,5
0100110100111(bin) = 2471(dec),16/53,53,1,5
0100110101000(bin) = 2472(dec),16/53,53,1,5
0100110101001(bin) = 2473(dec),16/53,53,1,5
0100110110001(bin) = 2481(dec),10/33,33,5,1
0100110110010(bin) = 2482(dec),10/33,33,5,1
0100110110011(bin) = 2483(dec),10/33,33,5,1
0100110110100(bin) = 2484(dec),10/33,33,5,1
0100110110101(bin) = 2485(dec),10/33,33,5,1
0100110110110(bin) = 2486(dec),10/33,33,5,1
0100110110111(bin) = 2487(dec),10/33,33,5,1
0100111000011(bin) = 2499(dec),11/36,36,1,5
0100111000100(bin) = 2500(dec),11/36,36,1,5
0100111000101(bin) = 2501(dec),11/36,36,1,5
0100111000110(bin) = 2502(dec),11/36,36,1,5
0100111000111(bin) = 2503(dec),11/36,36,1,5
0100111001000(bin) = 2504(dec),11/36,36,1,5
0100111001001(bin) = 2505(dec),11/36,36,1,5
0100111001010(bin) = 2506(dec),15/49,49,5,1
0100111001011(bin) = 2507(dec),15/49,49,5,1
0100111001100(bin) = 2508(dec),15/49,49,5,1
0100111001101(bin) = 2509(dec),15/49,49,5,1
0100111001110(bin) = 2510(dec),15/49,49,5,1
0100111001111(bin) = 2511(dec),15/49,49,5,1
0100111010000(bin) = 2512(dec),15/49,49,5,1
0100111010001(bin) = 2513(dec),15/49,49,5,1
0100111010010(bin) = 2514(dec),15/49,49,5,1
0100111010011(bin) = 2515(dec),4/13,13,1,5
0100111010100(bin) = 2516(dec),4/13,13,1,5
0100111010101(bin) = 2517(dec),4/13,13,1,5
0100111010110(bin) = 2518(dec),4/13,13,1,5
0100111010111(bin) = 2519(dec),4/13,13,1,5
0100111011000(bin) = 2520(dec),4/13,13,1,5
0100111011001(bin) = 2521(dec),4/13,13,1,5
0100111011010(bin) = 2522(dec),4/13,13,1,5
0100111011011(bin) = 2523(dec),4/13,13,1,5
0100111011100(bin) = 2524(dec),4/13,13,1,5
0100111011101(bin) = 2525(dec),4/13,13,1,5
0100111011110(bin) = 2526(dec),4/13,13,1,5
0100111101011(bin) = 2539(dec),9/29,29,1,5
0100111101100(bin) = 2540(dec),9/29,29,1,5
0100111101101(bin) = 2541(dec),9/29,29,1,5
0100111101110(bin) = 2542(dec),9/29,29,1,5
0100111101111(bin) = 2543(dec),9/29,29,1,5
0100111110000(bin) = 2544(dec),9/29,29,1,5
0100111110001(bin) = 2545(dec),9/29,29,1,5
0100111110010(bin) = 2546(dec),14/45,45,1,5
0100111110011(bin) = 2547(dec),14/45,45,1,5
0100111110100(bin) = 2548(dec),14/45,45,1,5
0100111110101(bin) = 2549(dec),14/45,45,1,5
0100111110110(bin) = 2550(dec),14/45,45,1,5
0100111110111(bin) = 2551(dec),14/45,45,1,5
0100111111000(bin) = 2552(dec),14/45,45,1,5
0100111111001(bin) = 2553(dec),14/45,45,1,5
0100111111010(bin) = 2554(dec),14/45,45,1,5
0100111111011(bin) = 2555(dec),5/16,16,5,1
0100111111100(bin) = 2556(dec),5/16,16,5,1
0100111111101(bin) = 2557(dec),5/16,16,5,1
0100111111110(bin) = 2558(dec),5/16,16,5,1
0100111111111(bin) = 2559(dec),5/16,16,5,1
0101000000000(bin) = 2560(dec),5/16,16,5,1
0101000000001(bin) = 2561(dec),5/16,16,5,1
0101000000010(bin) = 2562(dec),5/16,16,5,1
0101000000011(bin) = 2563(dec),5/16,16,5,1
0101000000100(bin) = 2564(dec),5/16,16,5,1
0101000000101(bin) = 2565(dec),5/16,16,5,1
0101000000110(bin) = 2566(dec),16/51,51,1,11
0101000000111(bin) = 2567(dec),16/51,51,1,11
0101000001000(bin) = 2568(dec),16/51,51,1,11
0101000001001(bin) = 2569(dec),16/51,51,1,11
0101000001010(bin) = 2570(dec),16/51,51,1,11
0101000001011(bin) = 2571(dec),16/51,51,1,11
0101000001100(bin) = 2572(dec),16/51,51,1,11
0101000111010(bin) = 2618(dec),8/25,25,5,1
0101000111011(bin) = 2619(dec),8/25,25,5,1
0101000111100(bin) = 2620(dec),8/25,25,5,1
0101000111101(bin) = 2621(dec),8/25,25,5,1
0101000111110(bin) = 2622(dec),8/25,25,5,1
0101000111111(bin) = 2623(dec),8/25,25,5,1
0101001000000(bin) = 2624(dec),8/25,25,5,1
0101001000001(bin) = 2625(dec),17/53,53,1,5
0101001000010(bin) = 2626(dec),17/53,53,1,5
0101001000011(bin) = 2627(dec),17/53,53,1,5
0101001000100(bin) = 2628(dec),17/53,53,1,5
0101001000101(bin) = 2629(dec),17/53,53,1,5
0101001000110(bin) = 2630(dec),17/53,53,1,5
0101001000111(bin) = 2631(dec),9/28,28,1,5
0101001001000(bin) = 2632(dec),9/28,28,1,5
0101001001001(bin) = 2633(dec),9/28,28,1,5
0101001001010(bin) = 2634(dec),9/28,28,1,5
0101001001011(bin) = 2635(dec),9/28,28,1,5
0101001001100(bin) = 2636(dec),9/28,28,1,5
0101001001101(bin) = 2637(dec),9/28,28,1,5
0101001001110(bin) = 2638(dec),10/31,31,1,11
0101001001111(bin) = 2639(dec),10/31,31,1,11
0101001010000(bin) = 2640(dec),10/31,31,1,11
0101001010001(bin) = 2641(dec),10/31,31,1,11
0101001010010(bin) = 2642(dec),10/31,31,1,11
0101001010011(bin) = 2643(dec),10/31,31,1,11
0101001010100(bin) = 2644(dec),10/31,31,1,11
0101001010101(bin) = 2645(dec),10/31,31,1,11
0101001010110(bin) = 2646(dec),10/31,31,1,11
0101001011110(bin) = 2654(dec),12/37,37,1,5
0101001011111(bin) = 2655(dec),12/37,37,1,5
