Register Output,Fraction,Guess for r,guess1,guess2
0100111101101100(bin) = 20332(dec),9/29,29,1,5
0100111101101101(bin) = 20333(dec),9/29,29,1,5
0100111101101110(bin) = 20334(dec),9/29,29,1,5
0100111101101111(bin) = 20335(dec),9/29,29,1,5
0100111101110000(bin) = 20336(dec),9/29,29,1,5
0100111101110001(bin) = 20337(dec),9/29,29,1,5
0100111101110010(bin) = 20338(dec),9/29,29,1,5
0100111101110011(bin) = 20339(dec),9/29,29,1,5
0100111101110100(bin) = 20340(dec),9/29,29,1,5
0100111101110101(bin) = 20341(dec),9/29,29,1,5
0100111101110110(bin) = 20342(dec),9/29,29,1,5
0100111101110111(bin) = 20343(dec),9/29,29,1,5
0100111101111000(bin) = 20344(dec),9/29,29,1,5
0100111101111001(bin) = 20345(dec),9/29,29,1,5
0100111101111010(bin) = 20346(dec),9/29,29,1,5
0100111101111011(bin) = 20347(dec),9/29,29,1,5
0100111101111100(bin) = 20348(dec),9/29,29,1,5
0100111101111101(bin) = 20349(dec),9/29,29,1,5
0100111101111110(bin) = 20350(dec),9/29,29,1,5
0100111101111111(bin) = 20351(dec),9/29,29,1,5
0100111110000000(bin) = 20352(dec),9/29,29,1,5
0100111110000001(bin) = 20353(dec),9/29,29,1,5
0100111110000010(bin) = 20354(dec),9/29,29,1,5
0100111110000011(bin) = 20355(dec),9/29,29,1,5
0100111110000100(bin) = 20356(dec),9/29,29,1,5
0100111110000101(bin) = 20357(dec),9/29,29,1,5
0100111110000110(bin) = 20358(dec),9/29,29,1,5
0100111110000111(bin) = 20359(dec),9/29,29,1,5
0100111110001000(bin) = 20360(dec),9/29,29,1,5
0100111110001001(bin) = 20361(dec),9/29,29,1,5
0100111110001010(bin) = 20362(dec),9/29,29,1,5
0100111110001011(bin) = 20363(dec),9/29,29,1,5
0100111110001100(bin) = 20364(dec),14/45,45,1,5
0100111110001101(bin) = 20365(dec),14/45,45,1,5
0100111110001110(bin) = 20366(dec),14/45,45,1,5
0100111110001111(bin) = 20367(dec),14/45,45,1,5
0100111110010000(bin) = 20368(dec),14/45,45,1,5
0100111110010001(bin) = 20369(dec),14/45,45,1,5
0100111110010010(bin) = 20370(dec),14/45,45,1,5
0100111110010011(bin) = 20371(dec),14/45,45,1,5
0100111110010100(bin) = 20372(dec),14/45,45,1,5
0100111110010101(bin) = 20373(dec),14/45,45,1,5
0100111110010110(bin) = 20374(dec),14/45,45,1,5
0100111110010111(bin) = 20375(dec),14/45,45,1,5
0100111110011000(bin) = 20376(dec),14/45,45,1,5
0100111110011001(bin) = 20377(dec),14/45,45,1,5
0100111110011010(bin) = 20378(dec),14/45,45,1,5
0100111110011011(bin) = 20379(dec),14/45,45,1,5
0100111110011100(bin) = 20380(dec),14/45,45,1,5
0100111110011101(bin) = 20381(dec),14/45,45,1,5
0100111110011110(bin) = 20382(dec),14/45,45,1,5
0100111110011111(bin) = 20383(dec),14/45,45,1,5
0100111110100000(bin) = 20384(dec),14/45,45,1,5
0100111110100001(bin) = 20385(dec),14/45,45,1,5
0100111110100010(bin) = 20386(dec),14/45,45,1,5
0100111110100011(bin) = 20387(dec),14/45,45,1,5
0100111110100100(bin) = 20388(dec),14/45,45,1,5
0100111110100101(bin) = 20389(dec),14/45,45,1,5
0100111110100110(bin) = 20390(dec),14/45,45,1,5
0100111110100111(bin) = 20391(dec),14/45,45,1,5
0100111110101000(bin) = 20392(dec),14/45,45,1,5
0100111110101001(bin) = 20393(dec),14/45,45,1,5
0100111110101010(bin) = 20394(dec),14/45,45,1,5
0100111110101011(bin) = 20395(dec),14/45,45,1,5
0100111110101100(bin) = 20396(dec),14/45,45,1,5
0100111110101101(bin) = 20397(dec),14/45,45,1,5
0100111110101110(bin) = 20398(dec),14/45,45,1,5
0100111110101111(bin) = 20399(dec),14/45,45,1,5
0100111110110000(bin) = 20400(dec),14/45,45,1,5
0100111110110001(bin) = 20401(dec),14/45,45,1,5
0100111110110010(bin) = 20402(dec),14/45,45,1,5
0100111110110011(bin) = 20403(dec),14/45,45,1,5
0100111110110100(bin) = 20404(dec),14/45,45,1,5
0100111110110101(bin) = 20405(dec),14/45,45,1,5
0100111110110110(bin) = 20406(dec),14/45,45,1,5
0100111110110111(bin) = 20407(dec),14/45,45,1,5
0100111110111000(bin) = 20408(dec),14/45,45,1,5
0100111110111001(bin) = 20409(dec),14/45,45,1,5
0100111110111010(bin) = 20410(dec),14/45,45,1,5
0100111110111011(bin) = 20411(dec),14/45,45,1,5
0100111110111100(bin) = 20412(dec),14/45,45,1,5
0100111110111101(bin) = 20413(dec),14/45,45,1,5
0100111110111110(bin) = 20414(dec),14/45,45,1,5
0100111110111111(bin) = 20415(dec),14/45,45,1,5
0100111111000000(bin) = 20416(dec),14/45,45,1,5
0100111111000001(bin) = 20417(dec),14/45,45,1,5
0100111111000010(bin) = 20418(dec),14/45,45,1,5
0100111111000011(bin) = 20419(dec),14/45,45,1,5
0100111111000100(bin) = 20420(dec),14/45,45,1,5
0100111111000101(bin) = 20421(dec),14/45,45,1,5
0100111111000110(bin) = 20422(dec),14/45,45,1,5
0100111111000111(bin) = 20423(dec),14/45,45,1,5
0100111111001000(bin) = 20424(dec),14/45,45,1,5
0100111111001001(bin) = 20425(dec),14/45,45,1,5
0100111111001010(bin) = 20426(dec),14/45,45,1,5
0100111111001011(bin) = 20427(dec),14/45,45,1,5
0100111111001100(bin) = 20428(dec),14/45,45,1,5
0100111111001101(bin) = 20429(dec),14/45,45,1,5
0100111111001110(bin) = 20430(dec),14/45,45,1,5
0100111111001111(bin) = 20431(dec),14/45,45,1,5
0100111111010000(bin) = 20432(dec),14/45,45,1,5
0100111111010001(bin) = 20433(dec),14/45,45,1,5
0100111111010010(bin) = 20434(dec),14/45,45,1,5
0100111111010011(bin) = 20435(dec),5/16,16,5,1
0100111111010100(bin) = 20436(dec),5/16,16,5,1
0100111111010101(bin) = 20437(dec),5/16,16,5,1
0100111111010110(bin) = 20438(dec),5/16,16,5,1
0100111111010111(bin) = 20439(dec),5/16,16,5,1
0100111111011000(bin) = 20440(dec),5/16,16,5,1
0100111111011001(bin) = 20441(dec),5/16,16,5,1
0100111111011010(bin) = 20442(dec),5/16,16,5,1
0100111111011011(bin) = 20443(dec),5/16,16,5,1
0100111111011100(bin) = 20444(dec),5/16,16,5,1
0100111111011101(bin) = 20445(dec),5/16,16,5,1
0100111111011110(bin) = 20446(dec),5/16,16,5,1
0100111111011111(bin) = 20447(dec),5/16,16,5,1
0100111111100000(bin) = 20448(dec),5/16,16,5,1
0100111111100001(bin) = 20449(dec),5/16,16,5,1
0100111111100010(bin) = 20450(dec),5/16,16,5,1
0100111111100011(bin) = 20451(dec),5/16,16,5,1
0100111111100100(bin) = 20452(dec),5/16,16,5,1
0100111111100101(bin) = 20453(dec),5/16,16,5,1
0100111111100110(bin) = 20454(dec),5/16,16,5,1
0100111111100111(bin) = 20455(dec),5/16,16,5,1
0100111111101000(bin) = 20456(dec),5/16,16,5,1
0100111111101001(bin) = 20457(dec),5/16,16,5,1
0100111111101010(bin) = 20458(dec),5/16,16,5,1
0100111111101011(bin) = 20459(dec),5/16,16,5,1
0100111111101100(bin) = 20460(dec),5/16,16,5,1
0100111111101101(bin) = 20461(dec),5/16,16,5,1
0100111111101110(bin) = 20462(dec),5/16,16,5,1
0100111111101111(bin) = 20463(dec),5/16,16,5,1
0100111111110000(bin) = 20464(dec),5/16,16,5,1
0100111111110001(bin) = 20465(dec),5/16,16,5,1
0100111111110010(bin) = 20466(dec),5/16,16,5,1
0100111111110011(bin) = 20467(dec),5/16,16,5,1
0100111111110100(bin) = 20468(dec),5/16,16,5,1
0100111111110101(bin) = 20469(dec),5/16,16,5,1
0100111111110110(bin) = 20470(dec),5/16,16,5,1
0100111111110111(bin) = 20471(dec),5/16,16,5,1
0100111111111000(bin) = 20472(dec),5/16,16,5,1
0100111111111001(bin) = 20473(dec),5/16,16,5,1
0100111111111010(bin) = 20474(dec),5/16,16,5,1
0100111111111011(bin) = 20475(dec),5/16,16,5,1
0100111111111100(bin) = 20476(dec),5/16,16,5,1
0100111111111101(bin) = 20477(dec),5/16,16,5,1
0100111111111110(bin) = 20478(dec),5/16,16,5,1
0100111111111111(bin) = 20479(dec),5/16,16,5,1
0101000000000000(bin) = 20480(dec),5/16,16,5,1
0101000000000001(bin) = 20481(dec),5/16,16,5,1
0101000000000010(bin) = 20482(dec),5/16,16,5,1
0101000000000011(bin) = 20483(dec),5/16,16,5,1
0101000000000100(bin) = 20484(dec),5/16,16,5,1
0101000000000101(bin) = 20485(dec),5/16,16,5,1
0101000000000110(bin) = 20486(dec),5/16,16,5,1
0101000000000111(bin) = 20487(dec),5/16,16,5,1
0101000000001000(bin) = 20488(dec),5/16,16,5,1
0101000000001001(bin) = 20489(dec),5/16,16,5,1
0101000000001010(bin) = 20490(dec),5/16,16,5,1
0101000000001011(bin) = 20491(dec),5/16,16,5,1
0101000000001100(bin) = 20492(dec),5/16,16,5,1
0101000000001101(bin) = 20493(dec),5/16,16,5,1
0101000000001110(bin) = 20494(dec),5/16,16,5,1
0101000000001111(bin) = 20495(dec),5/16,16,5,1
0101000000010000(bin) = 20496(dec),5/16,16,5,1
0101000000010001(bin) = 20497(dec),5/16,16,5,1
0101000000010010(bin) = 20498(dec),5/16,16,5,1
0101000000010011(bin) = 20499(dec),5/16,16,5,1
0101000000010100(bin) = 20500(dec),5/16,16,5,1
0101000000010101(bin) = 20501(dec),5/16,16,5,1
0101000000010110(bin) = 20502(dec),5/16,16,5,1
0101000000010111(bin) = 20503(dec),5/16,16,5,1
0101000000011000(bin) = 20504(dec),5/16,16,5,1
0101000000011001(bin) = 20505(dec),5/16,16,5,1
0101000000011010(bin) = 20506(dec),5/16,16,5,1
0101000000011011(bin) = 20507(dec),5/16,16,5,1
0101000000011100(bin) = 20508(dec),5/16,16,5,1
0101000000011101(bin) = 20509(dec),5/16,16,5,1
0101000000011110(bin) = 20510(dec),5/16,16,5,1
0101000000011111(bin) = 20511(dec),5/16,16,5,1
0101000000100000(bin) = 20512(dec),5/16,16,5,1
0101000000100001(bin) = 20513(dec),5/16,16,5,1
0101000000100010(bin) = 20514(dec),5/16,16,5,1
0101000000100011(bin) = 20515(dec),5/16,16,5,1
0101000000100100(bin) = 20516(dec),5/16,16,5,1
0101000000100101(bin) = 20517(dec),5/16,16,5,1
0101000000100110(bin) = 20518(dec),5/16,16,5,1
0101000000100111(bin) = 20519(dec),5/16,16,5,1
0101000000101000(bin) = 20520(dec),5/16,16,5,1
0101000000101001(bin) = 20521(dec),16/51,51,1,11
0101000000101010(bin) = 20522(dec),16/51,51,1,11
0101000000101011(bin) = 20523(dec),16/51,51,1,11
0101000000101100(bin) = 20524(dec),16/51,51,1,11
0101000000101101(bin) = 20525(dec),16/51,51,1,11
0101000000101110(bin) = 20526(dec),16/51,51,1,11
0101000000101111(bin) = 20527(dec),16/51,51,1,11
0101000000110000(bin) = 20528(dec),16/51,51,1,11
0101000000110001(bin) = 20529(dec),16/51,51,1,11
0101000000110010(bin) = 20530(dec),16/51,51,1,11
0101000000110011(bin) = 20531(dec),16/51,51,1,11
0101000000110100(bin) = 20532(dec),16/51,51,1,11
0101000000110101(bin) = 20533(dec),16/51,51,1,11
0101000000110110(bin) = 20534(dec),16/51,51,1,11
0101000000110111(bin) = 20535(dec),16/51,51,1,11
0101000000111000(bin) = 20536(dec),16/51,51,1,11
0101000000111001(bin) = 20537(dec),16/51,51,1,11
0101000000111010(bin) = 20538(dec),16/51,51,1,11
0101000000111011(bin) = 20539(dec),16/51,51,1,11
0101000000111100(bin) = 20540(dec),16/51,51,1,11
0101000000111101(bin) = 20541(dec),16/51,51,1,11
0101000000111110(bin) = 20542(dec),16/51,51,1,11
0101000000111111(bin) = 20543(dec),16/51,51,1,11
0101000001000000(bin) = 20544(dec),16/51,51,1,11
0101000001000001(bin) = 20545(dec),16/51,51,1,11
0101000001000010(bin) = 20546(dec),16/51,51,1,11
0101000001000011(bin) = 20547(dec),16/51,51,1,11
0101000001000100(bin) = 20548(dec),16/51,51,1,11
0101000001000101(bin) = 20549(dec),16/51,51,1,11
0101000001000110(bin) = 20550(dec),16/51,51,1,11
0101000001000111(bin) = 20551(dec),16/51,51,1,11
0101000001001000(bin) = 20552(dec),16/51,51,1,11
0101000001001001(bin) = 20553(dec),16/51,51,1,11
0101000001001010(bin) = 20554(dec),16/51,51,1,11
0101000001001011(bin) = 20555(dec),16/51,51,1,11
0101000001001100(bin) = 20556(dec),16/51,51,1,11
0101000001001101(bin) = 20557(dec),16/51,51,1,11
0101000001001110(bin) = 20558(dec),16/51,51,1,11
0101000001001111(bin) = 20559(dec),16/51,51,1,11
0101000001010000(bin) = 20560(dec),16/51,51,1,11
0101000001010001(bin) = 20561(dec),16/51,51,1,11
0101000001010010(bin) = 20562(dec),16/51,51,1,11
0101000001010011(bin) = 20563(dec),16/51,51,1,11
0101000001010100(bin) = 20564(dec),16/51,51,1,11
0101000001010101(bin) = 20565(dec),16/51,51,1,11
0101000001010110(bin) = 20566(dec),16/51,51,1,11
0101000001010111(bin) = 20567(dec),16/51,51,1,11
0101000001011000(bin) = 20568(dec),16/51,51,1,11
0101000001011001(bin) = 20569(dec),16/51,51,1,11
0101000001011010(bin) = 20570(dec),16/51,51,1,11
0101000001011011(bin) = 20571(dec),16/51,51,1,11
0101000001011100(bin) = 20572(dec),16/51,51,1,11
0101000001011101(bin) = 20573(dec),16/51,51,1,11
0101000001011110(bin) = 20574(dec),16/51,51,1,11
0101000001011111(bin) = 20575(dec),16/51,51,1,11
0101000001100000(bin) = 20576(dec),16/51,51,1,11
0101000001100001(bin) = 20577(dec),16/51,51,1,11
0101000001100010(bin) = 20578(dec),16/51,51,1,11
0101000111010000(bin) = 20944(dec),8/25,25,5,1
0101000111010001(bin) = 20945(dec),8/25,25,5,1
0101000111010010(bin) = 20946(dec),8/25,25,5,1
0101000111010011(bin) = 20947(dec),8/25,25,5,1
0101000111010100(bin) = 20948(dec),8/25,25,5,1
0101000111010101(bin) = 20949(dec),8/25,25,5,1
0101000111010110(bin) = 20950(dec),8/25,25,5,1
0101000111010111(bin) = 20951(dec),8/25,25,5,1
0101000111011000(bin) = 20952(dec),8/25,25,5,1
0101000111011001(bin) = 20953(dec),8/25,25,5,1
0101000111011010(bin) = 20954(dec),8/25,25,5,1
0101000111011011(bin) = 20955(dec),8/25,25,5,1
0101000111011100(bin) = 20956(dec),8/25,25,5,1
0101000111011101(bin) = 20957(dec),8/25,25,5,1
0101000111011110(bin) = 20958(dec),8/25,25,5,1
0101000111011111(bin) = 20959(dec),8/25,25,5,1
0101000111100000(bin) = 20960(dec),8/25,25,5,1
0101000111100001(bin) = 20961(dec),8/25,25,5,1
0101000111100010(bin) = 20962(dec),8/25,25,5,1
0101000111100011(bin) = 20963(dec),8/25,25,5,1
0101000111100100(bin) = 20964(dec),8/25,25,5,1
0101000111100101(bin) = 20965(dec),8/25,25,5,1
0101000111100110(bin) = 20966(dec),8/25,25,5,1
0101000111100111(bin) = 20967(dec),8/25,25,5,1
0101000111101000(bin) = 20968(dec),8/25,25,5,1
0101000111101001(bin) = 20969(dec),8/25,25,5,1
0101000111101010(bin) = 20970(dec),8/25,25,5,1
0101000111101011(bin) = 20971(dec),8/25,25,5,1
0101000111101100(bin) = 20972(dec),8/25,25,5,1
0101000111101101(bin) = 20973(dec),8/25,25,5,1
0101000111101110(bin) = 20974(dec),8/25,25,5,1
0101000111101111(bin) = 20975(dec),8/25,25,5,1
0101000111110000(bin) = 20976(dec),8/25,25,5,1
0101000111110001(bin) = 20977(dec),8/25,25,5,1
0101000111110010(bin) = 20978(dec),8/25,25,5,1
0101000111110011(bin) = 20979(dec),8/25,25,5,1
0101000111110100(bin) = 20980(dec),8/25,25,5,1
0101000111110101(bin) = 20981(dec),8/25,25,5,1
0101000111110110(bin) = 20982(dec),8/25,25,5,1
0101000111110111(bin) = 20983(dec),8/25,25,5,1
0101000111111000(bin) = 20984(dec),8/25,25,5,1
0101000111111001(bin) = 20985(dec),8/25,25,5,1
0101000111111010(bin) = 20986(dec),8/25,25,5,1
0101000111111011(bin) = 20987(dec),8/25,25,5,1
0101000111111100(bin) = 20988(dec),8/25,25,5,1
0101000111111101(bin) = 20989(dec),8/25,25,5,1
0101000111111110(bin) = 20990(dec),8/25,25,5,1
0101000111111111(bin) = 20991(dec),8/25,25,5,1
0101001000000000(bin) = 20992(dec),8/25,25,5,1
0101001000000001(bin) = 20993(dec),8/25,25,5,1
0101001000000010(bin) = 20994(dec),8/25,25,5,1
0101001000000011(bin) = 20995(dec),8/25,25,5,1
0101001000000100(bin) = 20996(dec),8/25,25,5,1
0101001000000101(bin) = 20997(dec),17/53,53,1,5
0101001000000110(bin) = 20998(dec),17/53,53,1,5
0101001000000111(bin) = 20999(dec),17/53,53,1,5
0101001000001000(bin) = 21000(dec),17/53,53,1,5
0101001000001001(bin) = 21001(dec),17/53,53,1,5
0101001000001010(bin) = 21002(dec),17/53,53,1,5
0101001000001011(bin) = 21003(dec),17/53,53,1,5
0101001000001100(bin) = 21004(dec),17/53,53,1,5
0101001000001101(bin) = 21005(dec),17/53,53,1,5
0101001000001110(bin) = 21006(dec),17/53,53,1,5
0101001000001111(bin) = 21007(dec),17/53,53,1,5
0101001000010000(bin) = 21008(dec),17/53,53,1,5
0101001000010001(bin) = 21009(dec),17/53,53,1,5
0101001000010010(bin) = 21010(dec),17/53,53,1,5
0101001000010011(bin) = 21011(dec),17/53,53,1,5
0101001000010100(bin) = 21012(dec),17/53,53,1,5
0101001000010101(bin) = 21013(dec),17/53,53,1,5
0101001000010110(bin) = 21014(dec),17/53,53,1,5
0101001000010111(bin) = 21015(dec),17/53,53,1,5
0101001000011000(bin) = 21016(dec),17/53,53,1,5
0101001000011001(bin) = 21017(dec),17/53,53,1,5
0101001000011010(bin) = 21018(dec),17/53,53,1,5
0101001000011011(bin) = 21019(dec),17/53,53,1,5
0101001000011100(bin) = 21020(dec),17/53,53,1,5
0101001000011101(bin) = 21021(dec),17/53,53,1,5
0101001000011110(bin) = 21022(dec),17/53,53,1,5
0101001000011111(bin) = 21023(dec),17/53,53,1,5
0101001000100000(bin) = 21024(dec),17/53,53,1,5
0101001000100001(bin) = 21025(dec),17/53,53,1,5
0101001000100010(bin) = 21026(dec),17/53,53,1,5
0101001000100011(bin) = 21027(dec),17/53,53,1,5
0101001000100100(bin) = 21028(dec),17/53,53,1,5
0101001000100101(bin) = 21029(dec),17/53,53,1,5
0101001000100110(bin) = 21030(dec),17/53,53,1,5
0101001000100111(bin) = 21031(dec),17/53,53,1,5
0101001000101000(bin) = 21032(dec),17/53,53,1,5
0101001000101001(bin) = 21033(dec),17/53,53,1,5
0101001000101010(bin) = 21034(dec),17/53,53,1,5
0101001000101011(bin) = 21035(dec),17/53,53,1,5
0101001000101100(bin) = 21036(dec),17/53,53,1,5
0101001000101101(bin) = 21037(dec),17/53,53,1,5
0101001000101110(bin) = 21038(dec),17/53,53,1,5
0101001000101111(bin) = 21039(dec),17/53,53,1,5
0101001000110000(bin) = 21040(dec),17/53,53,1,5
0101001000110001(bin) = 21041(dec),17/53,53,1,5
0101001000110010(bin) = 21042(dec),17/53,53,1,5
0101001000110011(bin) = 21043(dec),17/53,53,1,5
0101001000110100(bin) = 21044(dec),9/28,28,1,5
0101001000110101(bin) = 21045(dec),9/28,28,1,5
0101001000110110(bin) = 21046(dec),9/28,28,1,5
0101001000110111(bin) = 21047(dec),9/28,28,1,5
0101001000111000(bin) = 21048(dec),9/28,28,1,5
0101001000111001(bin) = 21049(dec),9/28,28,1,5
0101001000111010(bin) = 21050(dec),9/28,28,1,5
0101001000111011(bin) = 21051(dec),9/28,28,1,5
0101001000111100(bin) = 21052(dec),9/28,28,1,5
0101001000111101(bin) = 21053(dec),9/28,28,1,5
0101001000111110(bin) = 21054(dec),9/28,28,1,5
0101001000111111(bin) = 21055(dec),9/28,28,1,5
0101001001000000(bin) = 21056(dec),9/28,28,1,5
0101001001000001(bin) = 21057(dec),9/28,28,1,5
0101001001000010(bin) = 21058(dec),9/28,28,1,5
0101001001000011(bin) = 21059(dec),9/28,28,1,5
0101001001000100(bin) = 21060(dec),9/28,28,1,5
0101001001000101(bin) = 21061(dec),9/28,28,1,5
0101001001000110(bin) = 21062(dec),9/28,28,1,5
0101001001000111(bin) = 21063(dec),9/28,28,1,5
0101001001001000(bin) = 21064(dec),9/28,28,1,5
0101001001001001(bin) = 21065(dec),9/28,28,1,5
0101001001001010(bin) = 21066(dec),9/28,28,1,5
0101001001001011(bin) = 21067(dec),9/28,28,1,5
0101001001001100(bin) = 21068(dec),9/28,28,1,5
0101001001001101(bin) = 21069(dec),9/28,28,1,5
0101001001001110(bin) = 21070(dec),9/28,28,1,5
0101001001001111(bin) = 21071(dec),9/28,28,1,5
0101001001010000(bin) = 21072(dec),9/28,28,1,5
0101001001010001(bin) = 21073(dec),9/28,28,1,5
0101001001010010(bin) = 21074(dec),9/28,28,1,5
0101001001010011(bin) = 21075(dec),9/28,28,1,5
0101001001010100(bin) = 21076(dec),9/28,28,1,5
0101001001010101(bin) = 21077(dec),9/28,28,1,5
0101001001010110(bin) = 21078(dec),9/28,28,1,5
0101001001010111(bin) = 21079(dec),9/28,28,1,5
0101001001011000(bin) = 21080(dec),9/28,28,1,5
0101001001011001(bin) = 21081(dec),9/28,28,1,5
0101001001011010(bin) = 21082(dec),9/28,28,1,5
0101001001011011(bin) = 21083(dec),9/28,28,1,5
0101001001011100(bin) = 21084(dec),9/28,28,1,5
0101001001011101(bin) = 21085(dec),9/28,28,1,5
0101001001011110(bin) = 21086(dec),9/28,28,1,5
0101001001011111(bin) = 21087(dec),9/28,28,1,5
0101001001100000(bin) = 21088(dec),9/28,28,1,5
0101001001100001(bin) = 21089(dec),9/28,28,1,5
0101001001100010(bin) = 21090(dec),9/28,28,1,5
0101001001100011(bin) = 21091(dec),9/28,28,1,5
0101001001100100(bin) = 21092(dec),9/28,28,1,5
0101001001100101(bin) = 21093(dec),9/28,28,1,5
0101001001100110(bin) = 21094(dec),9/28,28,1,5
0101001001100111(bin) = 21095(dec),9/28,28,1,5
0101001001101000(bin) = 21096(dec),9/28,28,1,5
0101001001101001(bin) = 21097(dec),9/28,28,1,5
0101001001101010(bin) = 21098(dec),9/28,28,1,5
0101001001101011(bin) = 21099(dec),9/28,28,1,5
0101001001101100(bin) = 21100(dec),9/28,28,1,5
0101001001101101(bin) = 21101(dec),9/28,28,1,5
0101001001101110(bin) = 21102(dec),9/28,28,1,5
0101001001101111(bin) = 21103(dec),10/31,31,1,11
0101001001110000(bin) = 21104(dec),10/31,31,1,11
0101001001110001(bin) = 21105(dec),10/31,31,1,11
0101001001110010(bin) = 21106(dec),10/31,31,1,11
0101001001110011(bin) = 21107(dec),10/31,31,1,11
0101001001110100(bin) = 21108(dec),10/31,31,1,11
0101001001110101(bin) = 21109(dec),10/31,31,1,11
0101001001110110(bin) = 21110(dec),10/31,31,1,11
0101001001110111(bin) = 21111(dec),10/31,31,1,11
0101001001111000(bin) = 21112(dec),10/31,31,1,11
0101001001111001(bin) = 21113(dec),10/31,31,1,11
0101001001111010(bin) = 21114(dec),10/31,31,1,11
0101001001111011(bin) = 21115(dec),10/31,31,1,11
0101001001111100(bin) = 21116(dec),10/31,31,1,11
0101001001111101(bin) = 21117(dec),10/31,31,1,11
0101001001111110(bin) = 21118(dec),10/31,31,1,11
0101001001111111(bin) = 21119(dec),10/31,31,1,11
0101001010000000(bin) = 21120(dec),10/31,31,1,11
0101001010000001(bin) = 21121(dec),10/31,31,1,11
0101001010000010(bin) = 21122(dec),10/31,31,1,11
0101001010000011(bin) = 21123(dec),10/31,31,1,11
0101001010000100(bin) = 21124(dec),10/31,31,1,11
0101001010000101(bin) = 21125(dec),10/31,31,1,11
0101001010000110(bin) = 21126(dec),10/31,31,1,11
0101001010000111(bin) = 21127(dec),10/31,31,1,11
0101001010001000(bin) = 21128(dec),10/31,31,1,11
0101001010001001(bin) = 21129(dec),10/31,31,1,11
0101001010001010(bin) = 21130(dec),10/31,31,1,11
0101001010001011(bin) = 21131(dec),10/31,31,1,11
0101001010001100(bin) = 21132(dec),10/31,31,1,11
0101001010001101(bin) = 21133(dec),10/31,31,1,11
0101001010001110(bin) = 21134(dec),10/31,31,1,11
0101001010001111(bin) = 21135(dec),10/31,31,1,11
0101001010010000(bin) = 21136(dec),10/31,31,1,11
0101001010010001(bin) = 21137(dec),10/31,31,1,11
0101001010010010(bin) = 21138(dec),10/31,31,1,11
0101001010010011(bin) = 21139(dec),10/31,31,1,11
0101001010010100(bin) = 21140(dec),10/31,31,1,11
0101001010010101(bin) = 21141(dec),10/31,31,1,11
0101001010010110(bin) = 21142(dec),10/31,31,1,11
0101001010010111(bin) = 21143(dec),10/31,31,1,11
0101001010011000(bin) = 21144(dec),10/31,31,1,11
0101001010011001(bin) = 21145(dec),10/31,31,1,11
0101001010011010(bin) = 21146(dec),10/31,31,1,11
0101001010011011(bin) = 21147(dec),10/31,31,1,11
0101001010011100(bin) = 21148(dec),10/31,31,1,11
0101001010011101(bin) = 21149(dec),10/31,31,1,11
0101001010011110(bin) = 21150(dec),10/31,31,1,11
0101001010011111(bin) = 21151(dec),10/31,31,1,11
0101001010100000(bin) = 21152(dec),10/31,31,1,11
0101001010100001(bin) = 21153(dec),10/31,31,1,11
0101001010100010(bin) = 21154(dec),10/31,31,1,11
0101001010100011(bin) = 21155(dec),10/31,31,1,11
0101001010100100(bin) = 21156(dec),10/31,31,1,11
0101001010100101(bin) = 21157(dec),10/31,31,1,11
0101001010100110(bin) = 21158(dec),10/31,31,1,11
0101001010100111(bin) = 21159(dec),10/31,31,1,11
0101001010101000(bin) = 21160(dec),10/31,31,1,11
0101001010101001(bin) = 21161(dec),10/31,31,1,11
0101001010101010(bin) = 21162(dec),10/31,31,1,11
0101001010101011(bin) = 21163(dec),10/31,31,1,11
0101001010101100(bin) = 21164(dec),10/31,31,1,11
0101001010101101(bin) = 21165(dec),10/31,31,1,11
0101001010101110(bin) = 21166(dec),10/31,31,1,11
0101001010101111(bin) = 21167(dec),10/31,31,1,11
0101001010110000(bin) = 21168(dec),10/31,31,1,11
0101001010110001(bin) = 21169(dec),10/31,31,1,11
0101001010110010(bin) = 21170(dec),10/31,31,1,11
0101001010110011(bin) = 21171(dec),10/31,31,1,11
0101001011101101(bin) = 21229(dec),12/37,37,1,5
0101001011101110(bin) = 21230(dec),12/37,37,1,5
0101001011101111(bin) = 21231(dec),12/37,37,1,5
0101001011110000(bin) = 21232(dec),12/37,37,1,5
0101001011110001(bin) = 21233(dec),12/37,37,1,5
0101001011110010(bin) = 21234(dec),12/37,37,1,5
0101001011110011(bin) = 21235(dec),12/37,37,1,5
0101001011110100(bin) = 21236(dec),12/37,37,1,5
0101001011110101(bin) = 21237(dec),12/37,37,1,5
0101001011110110(bin) = 21238(dec),12/37,37,1,5
0101001011110111(bin) = 21239(dec),12/37,37,1,5
0101001011111000(bin) = 21240(dec),12/37,37,1,5
0101001011111001(bin) = 21241(dec),12/37,37,1,5
0101001011111010(bin) = 21242(dec),12/37,37,1,5
0101001011111011(bin) = 21243(dec),12/37,37,1,5
0101001011111100(bin) = 21244(dec),12/37,37,1,5
0101001011111101(bin) = 21245(dec),12/37,37,1,5
0101001011111110(bin) = 21246(dec),12/37,37,1,5
0101001011111111(bin) = 21247(dec),12/37,37,1,5
0101001100000000(bin) = 21248(dec),12/37,37,1,5
0101001100000001(bin) = 21249(dec),12/37,37,1,5
0101001100000010(bin) = 21250(dec),12/37,37,1,5
0101001100000011(bin) = 21251(dec),12/37,37,1,5
0101001100000100(bin) = 21252(dec),12/37,37,1,5
