Register Output,Fraction,Guess for r,guess1,guess2,iterations
1110110010(bin) = 946(dec),49/53,53,1,5,0
1110111001(bin) = 953(dec),27/29,29,1,5,0
1110111110(bin) = 958(dec),29/31,31,1,11,0
1111000000(bin) = 960(dec),15/16,16,5,1,0
1111000001(bin) = 961(dec),46/49,49,5,1,0
1111000010(bin) = 962(dec),31/33,33,5,1,0
1111000101(bin) = 965(dec),49/52,52,1,5,0
1111010110(bin) = 982(dec),47/49,49,5,1,0
1111011000(bin) = 984(dec),49/51,51,1,11,0
1111011001(bin) = 985(dec),51/53,53,1,5,0
1111011100(bin) = 988(dec),27/28,28,1,5,0
1111011101(bin) = 989(dec),28/29,29,1,5,0
1111011110(bin) = 990(dec),29/30,30,1,11,0
1111011111(bin) = 991(dec),30/31,31,1,11,0
1111100000(bin) = 992(dec),31/32,32,5,1,0
1111100001(bin) = 993(dec),32/33,33,5,1,0
1111100100(bin) = 996(dec),36/37,37,1,5,0
1111101001(bin) = 1001(dec),44/45,45,1,5,0
1111101011(bin) = 1003(dec),48/49,49,5,1,0
1111101100(bin) = 1004(dec),50/51,51,1,11,0
